Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN PUNJAB,,,,,,,,,,,,,,,
District/ Year,Sheikhu pura,Sahib,,,,,,,,,,,,,
2000-01,6,0,0.1,9.4,0.6,0.9,2.3,1.0 1.0,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN PUNJAB,,,,,,,,,,,,,,,
District/ Year,,,,,,,Khan nagar,,,,,,,,
2000-01,3.4,3.5 5.9,11.3,4.4,0.8,4.4,1.2 10.5,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,Ghotki,,Sukkur,,N. Feroze,Nawabshah,Jacobabad,Kashmore,Shikarpur,,,,,
2000-01,0,,0.3,,0.2,0.5,3.1,0.1,0,0,,,,,
"District/Year",Larkana,K.S.Kot,Sanghar,Thar parkar,Mirpur khas,Umarkot,Dadu,Jamshoro,,,,,,,
2000-01,0,0,3.5,68.8,0.3,0,0.1,0,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Hyderabad,Matiari,,Tando Allahyar,T.M.Khan,Badin,,Thatta,,Karachi,,,,,
2000-01,3.1,,0,0,0,,0.1,,0.4,,0,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Peshawar,Charsadda,Nowshera,Mardan,Swabi,Kohat,Hangu,Karak,Mansehra,,,,,,
2000-01,0,0,0,0,0,0.9,0.2,3.2,0,,,,,,
T-WISE AREA & PRODUCTION  OF BAJRA CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,Abbottaba,,,,,,,,,,,,,
Year,Battagram,d,Haripur,Kohistan,Malakand,Swat,,Bunir,Shangla,Dir  Lower,,,,,
2000-01,0,0,0.1,0,0,,0,0,0,0,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,Lakki,Mohmand,,,,,,,,
Year,Dir Upper,Chitral,D.I.Khan,Tank,Bannu,Marwat,Agency,Khyber,Kurram,,,,,,
2000-01,0,0.1,0.7,0,0,0.2,0,0,0,,,,,,
T-WISE AREA & PRODUCTION  OF BAJRA CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,F.R.,,,F.R. D.I.,,,,,
Year,Orakzai,Bajour,N.W,,S.W,,Peshawar,F.R. Kohat,F.R. Bannu,Khan,,,,,
2000-01,0,0,,0,,0,0,0,0,0,,,,,
STRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,Killa,,,,,,Killa,,,,,,
Year,Quetta,Pishin,Abdullah,Chagai,Loralai,Musa Khail,Barkhan,Zhob,Saifullah,,,,,,
2000-01,0,0,0,0,0,0,0,0,0,,,,,,
STRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,Dera,,,,,,,,,
Year,Sibi,,Ziarat,Kohlu,Kachhi,Bughti,Nasirabad,Jafferabad,Tomboo,Bolan,,,,,
2000-01,0,,0,0,0,0.1,0,0,0,0,,,,,
TRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,Jhal,,,,,,
Year,Mastung,Khuzdar,Awaran,Kharan,Lasbela,Turbat,Panjgoor,Gwadar,Magsi,Kalat,,,,,
2000-01,0,0.1,0,0,0.1,0,0,0.3,0,0,,,,,
